Rooms,Bathroom,Landsize,Lattitude,Longtitude,Price_original,y_pred_DT,y_pred_NN,Error_DT,Error_NN
4,3,327,-37.8467,144.9475,2800000,2248000,362680640,-552000,359880640
3,1,120,-37.8427,144.9546,2100000,2248000,194539952,148000,192439952
3,1,238,-37.8461,144.9528,2000000,2248000,287794496,248000,285794496
1,1,0,-37.8421,144.9517,442500,835500,96969824,393000,96527324
4,2,330,-37.8477,144.9558,4735000,2248000,363463520,-2487000,358728520
4,2,183,-37.8434,144.9495,2140000,2248000,247285184,108000,245145184
2,1,79,-37.8387,144.9519,980000,2248000,160769344,1268000,159789344
3,2,147,-37.8448,144.9453,1740000,2248000,217465792,508000,215725792
1,1,81,-37.8411,144.9497,985000,2248000,160982672,1263000,159997672
4,2,853,-37.7707,145.0318,2000000,2248000,776827520,248000,774827520
4,2,599,-37.7717,145.031,1717500,2248000,576091200,530500,574373700
5,4,809,-37.775,145.0268,2840000,2248000,746604480,-592000,743764480
2,1,88,-37.7791,145.0306,525500,2248000,167923472,1722500,167397972
2,2,155,-37.7804,145.0308,805000,2248000,222467056,1443000,221662056
4,2,606,-37.7743,145.0316,1830000,2248000,581624000,418000,579794000
4,2,575,-37.7723,145.0319,2100000,2248000,557124672,148000,555024672
3,1,180,-37.7802,145.0243,865000,2248000,241993440,1383000,241128440
2,1,0,-37.7773,145.0314,390000,835500,98377480,445500,97987480
2,1,0,-37.7805,145.0262,512000,835500,98374656,323500,97862656
4,2,556,-37.7844,145.0225,1900000,2248000,542104640,348000,540204640
4,2,589,-37.7719,145.0309,1950000,2248000,568188160,298000,566238160
3,2,352,-37.87,144.825,520000,2248000,379405984,1728000,378885984
5,3,729,-37.8721,144.8105,1525000,2248000,681665600,723000,680140600
2,1,292,-37.8687,144.8197,720000,2248000,329025184,1528000,328305184
3,1,506,-37.8693,144.8375,1120000,2248000,499526272,1128000,498406272
4,3,1057,-37.8681,144.819,1780000,2248000,939522240,468000,937742240
3,1,311,-37.8702,144.8143,630000,2248000,345403840,1618000,344773840
3,1,602,-37.8616,144.8116,660000,2248000,575378176,1588000,574718176
2,1,225,-37.8696,144.827,580000,2248000,276079712,1668000,275499712
3,1,777,-37.8697,144.8249,1335000,2248000,713689664,913000,712354664
2,1,127,-37.8686,144.8182,510000,2248000,198624912,1738000,198114912
2,1,115,-37.871,144.8185,425000,2248000,189141776,1823000,188716776
2,1,0,-37.8678,144.8384,391000,835500,98269312,444500,97878312
4,1,745,-37.8658,144.8155,845000,2248000,689759936,1403000,688914936
3,2,69,-37.868,144.8286,730000,2248000,155753392,1518000,155023392
2,1,137,-37.8655,144.8299,447000,2248000,206534720,1801000,206087720
3,1,606,-37.8608,144.8124,678000,2248000,578539776,1570000,577861776
2,2,175,-37.8687,144.8268,580000,2248000,238157824,1668000,237577824
3,2,534,-37.86,144.8245,840000,2248000,523238816,1408000,522398816
3,2,205,-37.8684,144.815,577000,2248000,263225728,1671000,262648728
2,2,675,-37.8653,144.8129,857000,2248000,633298304,1391000,632441304
3,2,70,-37.868,144.8285,730000,2248000,156543632,1518000,155813632
2,1,154,-37.8646,144.8272,535600,2248000,219968048,1712400,219432448
5,3,592,-37.8388,144.8567,1085000,2248000,573419136,1163000,572334136
3,1,533,-37.8291,144.835,781000,2248000,520858144,1467000,520077144
2,1,77,-37.8351,144.8529,421000,2248000,159127392,1827000,158706392
3,1,534,-37.8284,144.8355,683000,2248000,521648672,1565000,520965672
3,2,0,-37.8379,144.8583,720000,835500,101237536,115500,100517536
3,1,328,-37.838,144.8555,588000,2248000,358860608,1660000,358272608
3,1,540,-37.8294,144.8378,710000,2248000,526391968,1538000,525681968
4,1,559,-37.8448,144.8529,875000,2248000,542784960,1373000,541909960
3,2,171,-37.8337,144.8554,675000,2248000,236376352,1573000,235701352
3,1,585,-37.8258,144.8523,708000,2248000,561963968,1540000,561255968
4,2,315,-37.8391,144.8467,693000,2248000,351540864,1555000,350847864
3,2,276,-37.8262,144.8443,620000,2248000,319349984,1628000,318729984
3,1,531,-37.8277,144.8385,728500,2248000,519279520,1519500,518551020
3,2,590,-37.8382,144.8649,931000,2248000,567517888,1317000,566586888
3,2,555,-37.8318,144.8388,815000,2248000,539840640,1433000,539025640
4,1,633,-37.8375,144.8541,1200000,2248000,601266944,1048000,600066944
2,1,153,-37.8332,144.8649,292000,2248000,219197264,1956000,218905264
2,1,0,-37.8543,145.0262,599000,835500,98383320,236500,97784320
3,2,0,-37.8552,145.016,995000,835500,101336640,-159500,100341640
3,2,101,-37.854,145.0135,1205000,2248000,181155104,1043000,179950104
3,2,296,-37.8614,145.0274,1939000,2248000,335272832,309000,333333832
3,1,217,-37.8592,145.0182,1870000,2248000,271240000,378000,269370000
3,2,0,-37.8537,145.0267,1918000,835500,101343040,-1082500,99425040
3,2,205,-37.8574,145.0281,2050000,2248000,263355584,198000,261305584
3,2,2113,-37.8543,145.0262,735000,2248000,1771244288,1513000,1770509288
1,2,144,-37.8564,145.0228,1435000,2248000,212411568,813000,210976568
1,1,0,-37.8619,145.0185,280000,835500,97013264,555500,96733264
2,1,0,-37.8574,145.0174,592500,835500,98378272,243000,97785772
2,1,249,-37.8543,145.016,1210000,2248000,295161472,1038000,293951472
4,2,624,-37.8536,145.0173,2801000,2248000,595849856,-553000,593048856
3,2,405,-37.8545,145.0145,1800000,2248000,421406624,448000,419606624
4,1,495,-37.8613,145.0264,2200000,2248000,492314592,48000,490114592
6,3,1491,-37.8602,145.013,5525000,2248000,1285362688,-3277000,1279837688
1,1,0,-37.8531,145.0115,440000,835500,97007928,395500,96567928
3,1,212,-37.8542,145.0149,1300000,2248000,267285888,948000,265985888
2,1,0,-37.8573,145.0186,704000,835500,98379000,131500,97675000
2,1,0,-37.8596,145.0198,620000,835500,98380008,215500,97760008
3,1,328,-37.8559,145.0158,1900000,2248000,358961344,348000,357061344
2,1,2471,-37.8573,145.0186,710000,2248000,2051207424,1538000,2050497424
2,1,0,-37.8593,145.0156,598000,835500,98377384,237500,97779384
3,1,186,-37.8554,145.0173,1285000,2248000,246739744,963000,245454744
2,1,0,-37.8618,145.0183,520000,835500,98379344,315500,97859344
4,1,709,-37.8574,145.016,3625000,2248000,661431680,-1377000,657806680
4,3,563,-37.8582,145.0138,4200000,2248000,549233280,-1952000,545033280
3,1,103,-37.8542,145.0135,1101000,2248000,181142464,1147000,180041464
3,2,617,-37.8557,145.0264,3512500,2248000,588957440,-1264500,585444940
3,1,0,-37.853,145.0264,869000,835500,99749496,-33500,98880496
1,1,0,-37.8549,145.0113,567000,835500,97008016,268500,96441016
3,1,298,-37.7777,144.9195,940000,2248000,335183872,1308000,334243872
2,1,0,-37.7761,144.9201,467000,835500,98308832,368500,97841832
3,2,277,-37.7777,144.9221,1380000,2248000,320182528,868000,318802528
2,1,423,-37.7736,144.9015,490000,2248000,432593472,1758000,432103472
4,3,478,-37.7729,144.9179,1850000,2248000,481988896,398000,480138896
3,2,285,-37.775,144.9091,971000,2248000,326496544,1277000,325525544
2,1,214,-37.7776,144.9142,710000,2248000,267429328,1538000,266719328
6,3,1014,-37.7721,144.9184,2425000,2248000,908321728,-177000,905896728
2,1,226,-37.7745,144.9093,750000,2248000,276909504,1498000,276159504
2,1,269,-37.7748,144.929,1053000,2248000,310904512,1195000,309851512
3,1,417,-37.7756,144.9208,1377000,2248000,429230016,871000,427853016
3,1,350,-37.7759,144.91,970000,2248000,376273376,1278000,375303376
2,1,118,-37.7807,144.9288,751000,2248000,191569968,1497000,190818968
2,1,173,-37.7731,144.9206,950000,2248000,235030464,1298000,234080464
2,1,228,-37.7718,144.9066,685000,2248000,278488128,1563000,277803128
3,1,594,-37.7819,144.9064,1230000,2248000,569104704,1018000,567874704
2,1,226,-37.7774,144.9186,770000,2248000,276915552,1478000,276145552
4,1,300,-37.7766,144.9143,890000,2248000,338127360,1358000,337237360
3,1,487,-37.7725,144.9146,1440000,2248000,484546752,808000,483106752
3,2,440,-37.7746,144.9031,1000000,2248000,448989184,1248000,447989184
3,2,532,-37.7737,144.904,1435000,2248000,521697088,813000,520262088
1,1,0,-37.7723,144.9094,390000,835500,96935576,445500,96545576
3,2,495,-37.7821,144.9055,1425000,2248000,492457888,823000,491032888
4,2,683,-37.775,144.932,1340000,2248000,642415808,908000,641075808
3,1,263,-37.7753,144.9116,955000,2248000,307518272,1293000,306563272
4,2,559,-37.7791,144.9136,1100000,2248000,544407872,1148000,543307872
2,1,0,-37.773,144.9303,432000,835500,98314736,403500,97882736
4,3,562,-37.782,144.903,1640000,2248000,548365824,608000,546725824
6,2,461,-37.78,144.9295,1430000,2248000,469700896,818000,468270896
2,1,301,-37.7791,144.914,610000,2248000,336185344,1638000,335575344
3,3,491,-37.7727,144.9136,940000,2248000,490893952,1308000,489953952
3,1,242,-37.7765,144.9114,890000,2248000,290922016,1358000,290032016
3,2,617,-37.7742,144.906,1180000,2248000,588873792,1068000,587693792
4,2,597,-37.7757,144.9088,1480000,2248000,574435904,768000,572955904
2,2,146,-37.7713,144.9038,865000,2248000,215275120,1383000,214410120
2,1,0,-37.7733,144.9219,442000,835500,98309616,393500,97867616
3,1,506,-37.7779,144.9133,1037500,2248000,499562240,1210500,498524740
3,2,318,-37.7744,144.9035,1050000,2248000,352572896,1198000,351522896
2,1,0,-37.7749,144.9137,440000,835500,98304744,395500,97864744
4,2,418,-37.7766,144.9187,1430000,2248000,432978592,818000,431548592
3,2,272,-37.7774,144.928,1130000,2248000,316234560,1118000,315104560
3,1,296,-37.777,144.9176,1135000,2248000,333602048,1113000,332467048
4,2,298,-37.7778,144.9131,950000,2248000,338139456,1298000,337189456
2,1,1957,-37.7731,144.9074,390000,2248000,1644915328,1858000,1644525328
4,1,552,-37.7769,144.9138,1345000,2248000,537282304,903000,535937304
3,2,416,-37.7727,144.9055,1381500,2248000,430023232,866500,428641732
3,2,285,-37.7778,144.9061,940000,2248000,326495040,1308000,325555040
3,2,314,-37.7778,144.9042,995000,2248000,349412544,1253000,348417544
3,2,576,-37.7816,144.9217,786000,2248000,556482048,1462000,555696048
2,1,252,-37.7825,144.9206,705000,2248000,297465184,1543000,296760184
2,1,124,-37.7807,144.9285,760000,2248000,196311584,1488000,195551584
3,2,200,-37.7766,144.9277,1000000,2248000,259332800,1248000,258332800
3,1,278,-37.7768,144.9223,1305000,2248000,319379520,943000,318074520
3,1,452,-37.7762,144.9174,1215000,2248000,456888416,1033000,455673416
2,1,194,-37.7772,144.9118,545000,2248000,251621792,1703000,251076792
4,2,598,-37.7774,144.9104,1705000,2248000,575227392,543000,573522392
4,3,753,-37.8669,145.0767,2650000,2248000,699429888,-402000,696779888
3,2,599,-37.8673,145.0688,1670000,2248000,574759488,578000,573089488
3,3,310,-37.874,145.0714,2050000,2248000,347958816,198000,345908816
3,2,731,-37.8666,145.0676,1555000,2248000,679078080,693000,677523080
3,3,276,-37.8699,145.0778,1100000,2248000,321092128,1148000,319992128
3,1,583,-37.8685,145.0786,1337000,2248000,560527616,911000,559190616
8,7,1472,-37.8729,145.0788,2950000,2248000,1279494528,-702000,1276544528
3,2,516,-37.8675,145.0668,1518000,2248000,509163488,730000,507645488
3,1,806,-37.8695,145.084,1710000,2248000,736767680,538000,735057680
3,1,780,-37.8599,145.0815,1655000,2248000,716217344,593000,714562344
4,2,780,-37.86,145.0817,1550000,2248000,719176896,698000,717626896
3,2,351,-37.8742,145.07,1662000,2248000,378767008,586000,377105008
3,2,702,-37.8737,145.0695,1665000,2248000,656161536,583000,654496536
5,5,755,-37.8598,145.0796,3510000,2248000,705564160,-1262000,702054160
3,2,153,-37.8655,145.0808,900000,2248000,222293424,1348000,221393424
5,4,1075,-37.8714,145.073,2752000,2248000,956863808,-504000,954111808
3,2,710,-37.8653,145.0897,1500000,2248000,662495296,748000,660995296
4,2,749,-37.8669,145.077,1800000,2248000,694675520,448000,692875520
3,2,724,-37.8619,145.0879,1830000,2248000,673558016,418000,671728016
3,1,605,-37.8703,145.0774,1415000,2248000,577913728,833000,576498728
2,1,687,-37.872,145.0692,1440000,2248000,641347136,808000,639907136
4,2,321,-37.8693,145.08,1250000,2248000,356429792,998000,355179792
5,3,700,-37.8724,145.0758,1600000,2248000,658910336,648000,657310336
4,2,696,-37.8711,145.0746,1860000,2248000,652788736,388000,650928736
4,2,514,-37.8664,145.0772,1790000,2248000,508955360,458000,507165360
4,2,844,-37.8715,145.0688,1950000,2248000,769749376,298000,767799376
3,1,697,-37.8636,145.0903,1650000,2248000,650628352,598000,648978352
4,3,372,-37.8716,145.0999,1200000,2248000,398340800,1048000,397140800
2,1,695,-37.8694,145.0944,1075000,2248000,647684672,1173000,646609672
4,2,621,-37.8647,145.1023,1500000,2248000,593532608,748000,592032608
2,1,367,-37.8662,145.109,700000,2248000,388475328,1548000,387775328
3,2,400,-37.8675,145.106,761000,2248000,417512992,1487000,416751992
3,1,792,-37.864,145.0972,1365000,2248000,725711040,883000,724346040
4,2,803,-37.8621,145.1126,1100000,2248000,737373056,1148000,736273056
2,1,216,-37.8711,145.1017,690000,2248000,269136288,1558000,268446288
3,2,782,-37.8621,145.1021,1631000,2248000,719404032,617000,717773032
4,2,593,-37.8655,145.096,1500000,2248000,571400448,748000,569900448
5,3,585,-37.8637,145.1024,1529500,2248000,568041280,718500,566511780
2,1,153,-37.8696,145.0962,600000,2248000,219343904,1648000,218743904
4,2,766,-37.8629,145.1097,1240000,2248000,708130240,1008000,706890240
2,1,192,-37.8709,145.102,700000,2248000,250169312,1548000,249469312
2,1,586,-37.8683,145.1082,1110000,2248000,561550528,1138000,560440528
3,1,760,-37.858,145.1038,1305000,2248000,700424832,943000,699119832
3,2,320,-37.87,145.1103,855000,2248000,354292032,1393000,353437032
3,2,256,-37.8655,145.1096,900500,2248000,303711936,1347500,302811436
3,2,839,-37.8614,145.1098,1200000,2248000,764455808,1048000,763255808
3,1,212,-37.8723,145.1089,830000,2248000,267345872,1418000,266515872
3,1,593,-37.7677,144.8674,850000,2248000,568288768,1398000,567438768
3,1,0,-37.7634,144.8611,750000,835500,99637224,85500,98887224
3,3,557,-37.77,144.8572,851000,2248000,543018560,1397000,542167560
4,2,569,-37.7654,144.8655,1155000,2248000,552279616,1093000,551124616
3,1,570,-37.7591,144.8542,680000,2248000,550102784,1568000,549422784
3,1,550,-37.7632,144.8622,627500,2248000,534302176,1620500,533674676
4,3,761,-37.7524,144.8714,950000,2248000,705612416,1298000,704662416
3,1,581,-37.7691,144.8575,705000,2248000,558799232,1543000,558094232
4,3,873,-37.7609,144.8639,1100000,2248000,794122304,1148000,793022304
3,1,586,-37.7642,144.8603,892500,2248000,562751872,1355500,561859372
2,1,220,-37.756,144.8641,522500,2248000,272137728,1725500,271615228
4,2,554,-37.7649,144.8633,680000,2248000,540423744,1568000,539743744
3,1,812,-37.765,144.8578,875000,2248000,741357952,1373000,740482952
4,2,589,-37.7573,144.8534,762000,2248000,568077248,1486000,567315248
2,1,0,-37.7608,144.863,411000,835500,98271888,424500,97860888
3,2,593,-37.7607,144.8581,805000,2248000,569875456,1443000,569070456
3,2,582,-37.7584,144.8568,634000,2248000,561181120,1614000,560547120
4,2,244,-37.8668,144.9928,1819000,2248000,295522816,429000,293703816
2,1,0,-37.8731,144.9958,410000,835500,98366832,425500,97956832
2,1,114,-37.8723,144.9961,1015000,2248000,188460960,1233000,187445960
2,1,0,-37.8725,144.9952,502500,835500,98366384,333000,97863884
2,1,0,-37.8742,144.9972,520000,835500,98367808,315500,97847808
2,1,0,-37.8726,144.9962,442000,835500,98367000,393500,97925000
3,1,178,-37.8663,144.9948,1193000,2248000,240404784,1055000,239211784
2,1,0,-37.8678,144.9966,416000,835500,98366688,419500,97950688
2,1,0,-37.8667,144.9917,474000,835500,98363536,361500,97889536
2,1,159,-37.874,144.9933,981000,2248000,224022880,1267000,223041880
3,2,339,-37.872,144.9909,1690000,2248000,369234496,558000,367544496
2,1,483,-37.8727,144.9969,540000,2248000,480081760,1708000,479541760
2,1,659,-37.8094,145.0807,2100000,2248000,619218496,148000,617118496
4,2,715,-37.811,145.0958,1800000,2248000,667810432,448000,666010432
2,1,208,-37.8128,145.0975,1255000,2248000,262804496,993000,261549496
3,2,206,-37.8161,145.0812,1070000,2248000,264173744,1178000,263103744
5,3,715,-37.8028,145.0768,2570000,2248000,670757184,-322000,668187184
4,2,744,-37.8147,145.0748,2400000,2248000,690716544,-152000,688316544
2,1,122,-37.8124,145.0916,806000,2248000,194835088,1442000,194029088
6,4,2051,-37.8051,145.1016,4000000,2248000,1729571584,-1752000,1725571584
5,3,600,-37.8061,145.0801,2250000,2248000,579875328,-2000,577625328
5,3,678,-37.8048,145.0708,2800000,2248000,641512640,-552000,638712640
2,1,1015,-37.8074,145.0826,1850000,2248000,900565696,398000,898715696
3,1,188,-37.8065,145.065,700000,2248000,248343968,1548000,247643968
2,1,0,-37.8162,145.0841,500000,835500,98414488,335500,97914488
3,2,699,-37.814,145.0966,2125000,2248000,653800320,123000,651675320
4,2,577,-37.8032,145.0693,1800000,2248000,558731968,448000,556931968
2,1,0,-37.8116,145.0724,635000,835500,98406744,200500,97771744
2,1,0,-37.8144,145.0993,526000,835500,98423632,309500,97897632
3,1,281,-37.8013,145.0652,905000,2248000,321841216,1343000,320936216
4,3,453,-37.8044,145.1006,1750000,2248000,462347552,498000,460597552
2,1,121,-37.8112,145.0881,760000,2248000,194042496,1488000,193282496
3,2,219,-37.8125,145.0849,1367000,2248000,274449440,881000,273082440
4,3,241,-37.8042,145.1042,1400000,2248000,294806400,848000,293406400
4,2,935,-37.8157,145.0795,3270000,2248000,841666688,-1022000,838396688
2,1,115,-37.8122,145.0879,625000,2248000,189300704,1623000,188675704
4,3,674,-37.8068,145.0786,2730000,2248000,636990272,-482000,634260272
2,1,0,-37.8152,145.0839,460000,835500,98414240,375500,97954240
2,1,231,-37.8123,145.0821,1053000,2248000,280971808,1195000,279918808
3,2,306,-37.8106,145.0848,1472000,2248000,343205120,776000,341733120
2,1,87,-37.8134,145.081,754000,2248000,167168224,1494000,166414224
4,2,752,-37.8149,145.0747,2188000,2248000,697038912,60000,694850912
2,1,213,-37.8092,145.0789,755000,2248000,266744080,1493000,265989080
4,3,1007,-37.8135,145.0995,3290000,2248000,900173504,-1042000,896883504
4,2,685,-37.8056,145.071,2410000,2248000,644085568,-162000,641675568
2,1,0,-37.8147,145.084,650000,835500,98414248,185500,97764248
4,1,739,-37.8039,145.0631,2000000,2248000,685163328,248000,683163328
4,2,665,-37.8057,145.0825,1900000,2248000,628286656,348000,626386656
3,2,706,-37.8161,145.0748,3401000,2248000,659319168,-1153000,655918168
3,2,613,-37.8056,145.0688,1750000,2248000,585816448,498000,584066448
5,3,715,-37.8028,145.0768,3020000,2248000,670757184,-772000,667737184
5,2,981,-37.8058,145.0627,2450000,2248000,879375168,-202000,876925168
2,1,130,-37.812,145.0876,730000,2248000,201154976,1518000,200424976
3,2,404,-37.8075,145.1011,1500000,2248000,420664096,748000,419164096
4,1,672,-37.8099,145.0792,1700000,2248000,632223872,548000,630523872
3,2,260,-37.7966,145.1021,1315000,2248000,306860416,933000,305545416
3,2,778,-37.7939,145.0789,1500000,2248000,716220544,748000,714720544
4,4,1135,-37.8014,145.0892,3230000,2248000,1002917312,-982000,999687312
4,2,647,-37.7917,145.0868,1905000,2248000,614062208,343000,612157208
5,4,760,-37.7907,145.0907,3300000,2248000,707921024,-1052000,704621024
4,2,642,-37.7988,145.0726,1900000,2248000,610102912,348000,608202912
3,1,888,-37.8002,145.0949,2251000,2248000,801570688,-3000,799319688
4,2,750,-37.7906,145.0788,2205000,2248000,695457984,43000,693252984
3,2,347,-37.7947,145.1035,1265000,2248000,375617056,983000,374352056
4,2,673,-37.7856,145.0918,1750000,2248000,634612416,498000,632862416
3,1,665,-37.7862,145.0781,1450000,2248000,625322176,798000,623872176
4,2,772,-37.7959,145.0787,2614000,2248000,712845120,-366000,710231120
4,2,736,-37.7944,145.1028,1825000,2248000,684409024,423000,682584024
5,4,886,-37.804,145.0951,3250000,2248000,807502912,-1002000,804252912
3,2,207,-37.7893,145.092,1150000,2248000,264967488,1098000,263817488
4,2,662,-37.798,145.1007,1572000,2248000,625926080,676000,624354080
5,3,705,-37.7851,145.0775,1750000,2248000,662852544,498000,661102544
4,2,619,-37.8025,145.0843,1850000,2248000,591933632,398000,590083632
4,3,1274,-37.7822,145.0907,2130000,2248000,1111174272,118000,1109044272
5,4,624,-37.802,145.0797,3690000,2248000,600434944,-1442000,596744944
4,2,610,-37.7843,145.0891,1740000,2248000,584821760,508000,583081760
4,3,657,-37.7981,145.0904,2575000,2248000,623561472,-327000,620986472
4,2,517,-37.783,145.0926,1388800,2248000,511325920,859200,509937120
4,2,587,-37.7841,145.0953,1800000,2248000,566648704,448000,564848704
4,3,1070,-37.7975,145.0716,2910000,2248000,949943232,-662000,947033232
5,3,900,-37.7868,145.0677,2200000,2248000,816955008,48000,814755008
3,2,763,-37.7935,145.0865,1700000,2248000,704370752,548000,702670752
3,3,310,-37.7949,145.1014,1230000,2248000,347968000,1018000,346738000
7,3,637,-37.7898,145.0967,2600000,2248000,611857024,-352000,609257024
4,3,665,-37.7889,145.0904,1950000,2248000,629882816,298000,627932816
5,2,710,-37.7907,145.0916,1750000,2248000,665220096,498000,663470096
5,2,1002,-37.796,145.0984,2000000,2248000,895992256,248000,893992256
3,1,605,-37.7951,145.0696,1480000,2248000,577900032,768000,576420032
3,1,722,-37.7956,145.0829,1818000,2248000,670373248,430000,668555248
4,2,1235,-37.7988,145.089,2525000,2248000,1078760192,-277000,1076235192
4,3,904,-37.797,145.086,3360000,2248000,818762496,-1112000,815402496
3,1,713,-37.7982,145.0816,1903000,2248000,663260096,345000,661357096
4,3,869,-37.8002,145.0999,1720000,2248000,791110912,528000,789390912
4,2,667,-37.7835,145.0883,1675000,2248000,629868224,573000,628193224
4,3,362,-37.7987,145.0788,1680000,2248000,390416256,568000,388736256
5,5,1364,-37.7961,145.0859,4000000,2248000,1186852608,-1752000,1182852608
4,2,1010,-37.7982,145.0903,2205000,2248000,900943616,43000,898738616
3,2,949,-37.796,145.0696,2100000,2248000,851356224,148000,849256224
2,1,177,-37.7935,145.0679,685000,2248000,238284704,1563000,237599704
3,2,368,-37.7846,145.0935,1335000,2248000,392205952,913000,390870952
4,2,587,-37.7841,145.0953,1900000,2248000,566648704,348000,564748704
2,1,250,-37.7996,145.0959,1040000,2248000,295994464,1208000,294954464
4,2,644,-37.7997,145.0993,1250000,2248000,611700032,998000,610450032
5,3,842,-37.7854,145.0869,1875000,2248000,771129280,373000,769254280
4,2,701,-37.7839,145.0954,1530000,2248000,656742720,718000,655212720
4,2,754,-37.786,145.0886,1700000,2248000,698624640,548000,696924640
3,1,657,-37.7895,145.0985,1651000,2248000,619012736,597000,617361736
5,3,900,-37.7868,145.0677,1920000,2248000,816955008,328000,815035008
5,2,845,-37.7898,145.1021,1560000,2248000,771916864,688000,770356864
3,2,207,-37.7893,145.092,1038000,2248000,264967520,1210000,263929520
5,3,737,-37.7975,145.0961,1660000,2248000,688155008,588000,686495008
3,2,720,-37.7938,145.0838,1770000,2248000,670386176,478000,668616176
